LineId,EventId,Content,EventTemplate
42,E2,"Jun  9 06:06:20 combo kernel: Inode-cache hash table entries: 8192 (order: 3, 32768 bytes)",
43,E23,"Jun  9 06:06:20 combo kernel: Mount-cache hash table entries: 512 (order: 0, 4096 bytes)",Jun  9 06:06:20 combo irqbalance: irqbalance startup succeeded
44,E2,Jun  9 06:06:20 combo rpc.statd[1605]: Version 1.0.6 Starting,
45,E24,Jun  9 06:06:20 combo nfslock: rpc.statd startup succeeded,Jun  9 06:06:20 combo kernel: Kernel command line: ro root=LABEL=/ rhgb quiet
46,E2,"Jun  9 06:06:20 combo kernel: CPU: L1 I cache: 16K, L1 D cache: 16K",
47,E25,Jun  9 06:06:21 combo kernel: CPU: L2 cache: 256K,Jun  9 06:06:20 combo kernel: mapped 4G/4G trampoline to ffff3000.
48,E2,Jun  9 06:06:21 combo kernel: Intel machine check architecture supported.,
49,E26,Jun  9 06:06:21 combo kernel: CPU: Intel Pentium III (Coppermine) stepping 06,Jun  9 06:06:20 combo kernel: Initializing CPU#0
50,E2,Jun  9 06:06:21 combo kernel: Enabling fast FPU save and restore... done.,
51,E27,Jun  9 06:06:21 combo kernel: Enabling unmasked SIMD FPU exception support... done.,Jun  9 06:06:20 combo portmap: portmap startup succeeded
52,E2,Jun  9 06:06:21 combo kernel: Checking 'hlt' instruction... OK.,
53,E28,Jun  9 06:06:21 combo kernel: POSIX conformance testing by UNIFIX,"Jun  9 06:06:20 combo kernel: CPU 0 irqstacks, hard=02345000 soft=02344000"
54,E2,Jun  9 06:06:21 combo kernel: NET: Registered protocol family 16,
55,E29,"Jun  9 06:06:21 combo kernel: PCI: PCI BIOS revision 2.10 entry at 0xfc0ce, last bus=1",Jun  9 06:06:20 combo kernel: PID hash table entries: 512 (order 9: 4096 bytes)
56,E2,Jun  9 06:06:21 combo kernel: PCI: Using configuration type 1,
57,E30,Jun  9 06:06:21 combo kernel: ACPI: Subsystem revision 20040326,Jun  9 06:06:20 combo kernel: Detected 731.214 MHz processor.
58,E2,Jun  9 06:06:21 combo kernel: ACPI: Interpreter disabled.,
59,E31,Jun  9 06:06:21 combo kernel: Linux Plug and Play Support v0.97 (c) Adam Belay,Jun  9 06:06:20 combo kernel: Using tsc for high-res timesource
60,E2,Jun  9 06:06:21 combo kernel: usbcore: registered new driver usbfs,
61,E32,Jun  9 06:06:21 combo kernel: usbcore: registered new driver hub,Jun  9 06:06:20 combo kernel: Console: colour VGA+ 80x25
62,E2,Jun  9 06:06:21 combo rpcidmapd: rpc.idmapd startup succeeded,
63,E33,Jun  9 06:06:21 combo kernel: ACPI: ACPI tables contain no PCI IRQ routing entries,"Jun  9 06:06:20 combo kernel: Memory: 125312k/129720k available (1540k kernel code, 3860k reserved, 599k data, 144k init, 0k highmem)"
64,E2,Jun  9 06:06:21 combo kernel: PCI: Invalid ACPI-PCI IRQ routing table,
65,E34,Jun  9 06:06:21 combo random: Initializing random number generator:  succeeded,Jun  9 06:06:20 combo kernel: Calibrating delay loop... 1441.79 BogoMIPS
66,E2,Jun  9 06:06:21 combo kernel: PCI: Probing PCI hardware,
67,E35,Jun  9 06:06:21 combo kernel: PCI: Probing PCI hardware (bus 00),Jun  9 06:06:20 combo kernel: Security Scaffold v1.0.0 initialized
68,E2,Jun  9 06:06:21 combo kernel: Transparent bridge - 0000:00:1e.0,
69,E36,Jun  9 06:06:21 combo kernel: PCI: Using IRQ router PIIX/ICH [8086/2410] at 0000:00:1f.0,Jun  9 06:06:20 combo kernel: SELinux:  Initializing.
70,E2,Jun  9 06:06:21 combo kernel: apm: BIOS version 1.2 Flags 0x03 (Driver version 1.16ac),
71,E37,Jun  9 06:06:21 combo kernel: audit: initializing netlink socket (disabled),Jun  9 06:06:20 combo kernel: SELinux:  Starting in permissive mode
72,E2,Jun  9 06:06:21 combo kernel: audit(1118297138.4294965368:0): initialized,
73,E38,"Jun  9 06:06:21 combo kernel: Total HugeTLB memory allocated, 0","Jun  9 06:06:20 combo kernel: There is already a security framework initialized, register_security failed."
74,E2,Jun  9 06:06:21 combo rc: Starting pcmcia:  succeeded,
75,E39,Jun  9 06:06:21 combo kernel: VFS: Disk quotas dquot_6.5.1,Jun  9 06:06:20 combo kernel: Failure registering capabilities with the kernel
76,E2,"Jun  9 06:06:21 combo kernel: Dquot-cache hash table entries: 1024 (order 0, 4096 bytes)",
77,E40,Jun  9 06:06:21 combo kernel: SELinux:  Registering netfilter hooks,Jun  9 06:06:20 combo kernel: selinux_register_security:  Registering secondary module capability
78,E2,Jun  9 06:06:21 combo kernel: Initializing Cryptographic API,
79,E41,Jun  9 06:06:21 combo kernel: pci_hotplug: PCI Hot Plug PCI Core version: 0.5,Jun  9 06:06:20 combo kernel: Capability LSM initialized
80,E2,Jun  9 06:06:21 combo kernel: isapnp: Scanning for PnP cards...,
81,E42,Jun  9 06:06:21 combo kernel: isapnp: No Plug & Play device found,"Jun  9 06:06:20 combo kernel: Dentry cache hash table entries: 16384 (order: 4, 65536 bytes)"
82,E2,Jun  9 06:06:21 combo kernel: Real Time Clock Driver v1.12,
83,E43,Jun  9 06:06:21 combo kernel: Linux agpgart interface v0.100 (c) Dave Jones,"Jun  9 06:06:20 combo kernel: Inode-cache hash table entries: 8192 (order: 3, 32768 bytes)"
84,E2,Jun  9 06:06:21 combo kernel: agpgart: Detected an Intel i810 E Chipset.,
85,E44,Jun  9 06:06:21 combo kernel: agpgart: Maximum main memory to use for agp memory: 93M,"Jun  9 06:06:20 combo kernel: Mount-cache hash table entries: 512 (order: 0, 4096 bytes)"
86,E2,Jun  9 06:06:22 combo bluetooth: hcid startup succeeded,
87,E45,Jun  9 06:06:22 combo kernel: agpgart: detected 4MB dedicated video ram.,Jun  9 06:06:20 combo rpc.statd[{log_level}]: Version 1.0.6 Starting
88,E2,Jun  9 06:06:22 combo hcid[1677]: HCI daemon ver 2.4 started,
89,E46,Jun  9 06:06:17 combo network: Setting network parameters:  succeeded,Jun  9 06:06:20 combo nfslock: rpc.statd startup succeeded
90,E2,Jun  9 06:06:22 combo bluetooth: sdpd startup succeeded,
91,E47,Jun  9 06:06:22 combo kernel: agpgart: AGP aperture is 64M @ 0xf4000000,"Jun  9 06:06:20 combo kernel: CPU: L1 I cache: 16K, L1 D cache: 16K"
92,E2,Jun  9 06:06:17 combo network: Bringing up loopback interface:  succeeded,
93,E48,"Jun  9 06:06:22 combo kernel: Serial: 8250/16550 driver $Revision: 1.90 $ 8 ports, IRQ sharing enabled",Jun  9 06:06:21 combo kernel: CPU: L2 cache: 256K
94,E2,Jun  9 06:06:22 combo kernel: RAMDISK driver initialized: 16 RAM disks of 16384K size 1024 blocksize,
95,E49,Jun  9 06:06:22 combo kernel: Uniform Multi-Platform E-IDE driver Revision: 7.00alpha2,Jun  9 06:06:21 combo kernel: Intel machine check architecture supported.
96,E2,Jun  9 06:06:23 combo netfs: Mounting other filesystems:  succeeded,
97,E50,Jun  9 06:06:23 combo kernel: ide: Assuming 33MHz system bus speed for PIO modes; override with idebus=xx,Jun  9 06:06:21 combo kernel: CPU: Intel Pentium III (Coppermine) stepping 06
98,E2,Jun  9 06:06:23 combo kernel: ICH: IDE controller at PCI slot 0000:00:1f.1,
99,E51,"Jun  9 06:06:23 combo apmd[1717]: Version 3.0.2 (APM BIOS 1.2, Linux driver 1.16ac)",Jun  9 06:06:21 combo kernel: Enabling fast FPU save and restore... done.
100,E2,Jun  9 06:06:23 combo apmd: apmd startup succeeded,
101,E52,Jun  9 06:06:23 combo kernel: ICH: chipset revision 2,Jun  9 06:06:21 combo kernel: Enabling unmasked SIMD FPU exception support... done.
102,E2,"Jun  9 06:06:23 combo kernel:     ide0: BM-DMA at 0xffa0-0xffa7, BIOS settings: hda:DMA, hdb:pio",
103,E53,Jun  9 06:06:24 combo autofs: automount startup succeeded,Jun  9 06:06:21 combo kernel: Checking 'hlt' instruction... OK.
104,E2,"Jun  9 06:06:24 combo kernel:     ide1: BM-DMA at 0xffa8-0xffaf, BIOS settings: hdc:DMA, hdd:pio",
105,E54,Jun  9 06:06:24 combo kernel: Using cfq io scheduler,Jun  9 06:06:21 combo kernel: POSIX conformance testing by UNIFIX
106,E2,Jun  9 06:06:24 combo smartd[1755]: Home page is http://smartmontools.sourceforge.net/,
107,E55,"Jun  9 06:06:24 combo kernel: ide0 at 0x1f0-0x1f7,0x3f6 on irq 14",Jun  9 06:06:21 combo kernel: NET: Registered protocol family 16
108,E2,Jun  9 06:06:24 combo smartd[1755]: Opened configuration file /etc/smartd.conf,
109,E56,Jun  9 06:06:24 combo smartd[1755]: Configuration file /etc/smartd.conf parsed.,"Jun  9 06:06:21 combo kernel: PCI: PCI BIOS revision 2.10 entry at 0xfc0ce, last bus=1"
110,E2,"Jun  9 06:06:24 combo smartd[1755]: Device: /dev/hda, opened",
111,E57,"Jun  9 06:06:24 combo kernel: ide1 at 0x170-0x177,0x376 on irq 15",Jun  9 06:06:21 combo kernel: PCI: Using configuration type 1
112,E2,Jun  9 06:06:24 combo apmd[1717]: Charge: * * * (-1% unknown),
113,E58,"Jun  9 06:06:24 combo smartd[1755]: Device: /dev/hda, found in smartd database.",Jun  9 06:06:21 combo kernel: ACPI: Subsystem revision 20040326
114,E2,Jun  9 06:06:24 combo kernel: hda: max request size: 128KiB,
115,E59,"Jun  9 06:06:24 combo smartd[1755]: Device: /dev/hda, is SMART capable. Adding to ""monitor"" list.",Jun  9 06:06:21 combo kernel: ACPI: Interpreter disabled.
116,E2,"Jun  9 06:06:24 combo kernel: hda: 29336832 sectors (15020 MB) w/1916KiB Cache, CHS=29104/16/63, UDMA(66)",
117,E60,Jun  9 06:06:24 combo smartd[1755]: Monitoring 1 ATA and 0 SCSI devices,Jun  9 06:06:21 combo kernel: Linux Plug and Play Support v0.97 (c) Adam Belay
118,E2,Jun  9 06:06:24 combo smartd[1757]: smartd has fork()ed into background mode. New PID=1757.,
119,E61,Jun  9 06:06:24 combo smartd: smartd startup succeeded,Jun  9 06:06:21 combo kernel: usbcore: registered new driver usbfs
120,E2,Jun  9 06:06:24 combo kernel: Uniform CD-ROM driver Revision: 3.20,
121,E62,Jun  9 06:06:24 combo kernel: ide-floppy driver 0.99.newide,Jun  9 06:06:21 combo kernel: usbcore: registered new driver hub
122,E2,Jun  9 06:06:24 combo kernel: usbcore: registered new driver hiddev,
123,E63,Jun  9 06:06:24 combo kernel: usbcore: registered new driver hid,Jun  9 06:06:21 combo rpcidmapd: rpc.idmapd startup succeeded
124,E2,Jun  9 06:06:25 combo kernel: mice: PS/2 mouse device common for all mice,
125,E64,"Jun  9 06:06:25 combo kernel: serio: i8042 AUX port at 0x60,0x64 irq 12",Jun  9 06:06:21 combo kernel: ACPI: ACPI tables contain no PCI IRQ routing entries
126,E2,Jun  9 06:06:25 combo kernel: input: ImPS/2 Logitech Wheel Mouse on isa0060/serio1,
127,E65,"Jun  9 06:06:25 combo kernel: serio: i8042 KBD port at 0x60,0x64 irq 1",Jun  9 06:06:21 combo kernel: PCI: Invalid ACPI-PCI IRQ routing table
128,E2,Jun  9 06:06:25 combo kernel: input: AT Translated Set 2 keyboard on isa0060/serio0,
129,E66,"Jun  9 06:06:25 combo kernel: md: md driver 0.90.0 MAX_MD_DEVS=256, MD_SB_DISKS=27",Jun  9 06:06:21 combo random: Initializing random number generator:  succeeded
130,E2,Jun  9 06:06:25 combo kernel: NET: Registered protocol family 2,
131,E67,"Jun  9 06:06:25 combo kernel: IP: routing cache hash table of 512 buckets, 4Kbytes",Jun  9 06:06:21 combo kernel: PCI: Probing PCI hardware
132,E2,Jun  9 06:06:26 combo kernel: TCP: Hash tables configured (established 8192 bind 16384),
133,E68,Jun  9 06:06:26 combo kernel: Initializing IPsec netlink socket,Jun  9 06:06:21 combo kernel: PCI: Probing PCI hardware (bus 00)
134,E2,Jun  9 06:06:26 combo kernel: NET: Registered protocol family 1,
135,E69,Jun  9 06:06:26 combo kernel: NET: Registered protocol family 17,Jun  9 06:06:21 combo kernel: Transparent bridge - 0000:00:1e.0
136,E2,Jun  9 06:06:26 combo kernel: checking if image is initramfs...it isn't (no cpio magic); looks like an initrd,
137,E70,Jun  9 06:06:26 combo kernel: Freeing initrd memory: 186k freed,Jun  9 06:06:21 combo kernel: PCI: Using IRQ router PIIX/ICH [8086/2410] at 0000:00:1f.0
138,E2,Jun  9 06:06:26 combo kernel: md: Autodetecting RAID arrays.,
139,E71,Jun  9 06:06:26 combo kernel: md: autorun ...,Jun  9 06:06:21 combo kernel: apm: BIOS version 1.2 Flags 0x03 (Driver version 1.16ac)
140,E2,Jun  9 06:06:26 combo kernel: RAMDISK: Compressed image found at block 0,
141,E72,Jun  9 06:06:26 combo rc: Starting hpoj:  succeeded,Jun  9 06:06:21 combo kernel: audit: initializing netlink socket (disabled)
142,E2,Jun  9 06:06:26 combo kernel: VFS: Mounted root (ext2 filesystem).,
143,E73,Jun  9 06:06:26 combo kernel: EXT3-fs: write access will be enabled during recovery.,Jun  9 06:06:21 combo kernel: audit(1118297138.4294965368:0): initialized
144,E2,Jun  9 06:06:26 combo kernel: kjournald starting.  Commit interval 5 seconds,
145,E74,Jun  9 06:06:27 combo kernel: EXT3-fs: hda2: 4 orphan inodes deleted,"Jun  9 06:06:21 combo kernel: Total HugeTLB memory allocated, 0"
146,E2,Jun  9 06:06:27 combo kernel: EXT3-fs: recovery complete.,
147,E75,Jun  9 06:06:27 combo kernel: EXT3-fs: mounted filesystem with ordered data mode.,Jun  9 06:06:21 combo rc: Starting pcmcia:  succeeded
148,E2,Jun  9 06:06:27 combo kernel: Freeing unused kernel memory: 144k freed,
149,E76,Jun  9 06:06:27 combo kernel: SELinux:  Disabled at runtime.,Jun  9 06:06:21 combo kernel: VFS: Disk quotas dquot_6.5.1
150,E2,Jun  9 06:06:28 combo kernel: SELinux:  Unregistering netfilter hooks,
151,E77,Jun  9 06:06:28 combo kernel: NET: Registered protocol family 10,"Jun  9 06:06:21 combo kernel: Dquot-cache hash table entries: 1024 (order 0, 4096 bytes)"
152,E2,Jun  9 06:06:28 combo kernel: Disabled Privacy Extensions on device 022db720(lo),
153,E78,Jun  9 06:06:28 combo kernel: IPv6 over IPv4 tunneling driver,Jun  9 06:06:21 combo kernel: SELinux:  Registering netfilter hooks
154,E2,Jun  9 06:06:28 combo kernel: USB Universal Host Controller Interface driver v2.2,
155,E79,Jun  9 06:06:28 combo kernel: PCI: Found IRQ 11 for device 0000:00:1f.2,Jun  9 06:06:21 combo kernel: Initializing Cryptographic API
156,E2,Jun  9 06:06:29 combo kernel: uhci_hcd 0000:00:1f.2: UHCI Host Controller,
157,E80,"Jun  9 06:06:29 combo kernel: uhci_hcd 0000:00:1f.2: irq 11, io base 0000ff80",Jun  9 06:06:21 combo kernel: pci_hotplug: PCI Hot Plug PCI Core version: 0.5
158,E2,"Jun  9 06:06:29 combo kernel: uhci_hcd 0000:00:1f.2: new USB bus registered, assigned bus number 1",
159,E81,"Jun  9 06:06:29 combo kernel: EXT3 FS on hda2, internal journal",Jun  9 06:06:21 combo kernel: isapnp: Scanning for PnP cards...
160,E2,Jun  9 06:06:30 combo kernel: cdrom: open failed.,
161,E82,Jun  9 06:06:30 combo kernel: Adding 262072k swap on /dev/hda3.  Priority:-1 extents:1,Jun  9 06:06:21 combo kernel: isapnp: No Plug & Play device found
162,E2,Jun  9 06:06:30 combo kernel: kjournald starting.  Commit interval 5 seconds,
163,E83,"Jun  9 06:06:30 combo kernel: EXT3 FS on hda1, internal journal",Jun  9 06:06:21 combo kernel: Real Time Clock Driver v1.12
164,E2,Jun  9 06:06:31 combo kernel: EXT3-fs: mounted filesystem with ordered data mode.,
165,E84,Jun  9 06:06:31 combo kernel: microcode: CPU0 already at revision 0x8 (current=0x8),Jun  9 06:06:21 combo kernel: Linux agpgart interface v0.100 (c) Dave Jones
166,E2,Jun  9 06:06:31 combo kernel: microcode: No suitable data for cpu 0,
167,E85,"Jun  9 06:06:31 combo kernel: parport0: PC-style at 0x378 (0x778) [PCSPP,TRISTATE,EPP]",Jun  9 06:06:21 combo kernel: agpgart: Detected an Intel i810 E Chipset.
168,E2,Jun  9 06:06:31 combo kernel: parport0: irq 7 detected,
169,E86,Jun  9 06:06:31 combo kernel: SCSI subsystem initialized,Jun  9 06:06:21 combo kernel: agpgart: Maximum main memory to use for agp memory: 93M
170,E2,Jun  9 06:06:32 combo kernel: inserting floppy driver for 2.6.5-1.358,
171,E87,Jun  9 06:06:32 combo kernel: Floppy drive(s): fd0 is 1.44M,Jun  9 06:06:22 combo bluetooth: hcid startup succeeded
172,E2,Jun  9 06:06:32 combo kernel: FDC 0 is a National Semiconductor PC87306,
173,E88,Jun  9 06:06:33 combo kernel: PCI: Found IRQ 5 for device 0000:01:0c.0,Jun  9 06:06:22 combo kernel: agpgart: detected 4MB dedicated video ram.
174,E2,Jun  9 06:06:33 combo kernel: 3c59x: Donald Becker and others. www.scyld.com/network/vortex.html,
175,E89,Jun  9 06:06:34 combo kernel: ip_tables: (C) 2000-2002 Netfilter core team,Jun  9 06:06:22 combo hcid[{log_level}]: HCI daemon ver 2.4 started
176,E2,Jun  9 06:06:34 combo kernel: PCI: Found IRQ 5 for device 0000:01:0c.0,
177,E90,Jun  9 06:06:34 combo kernel: 3c59x: Donald Becker and others. www.scyld.com/network/vortex.html,Jun  9 06:06:17 combo network: Setting network parameters:  succeeded
178,E2,Jun  9 06:06:34 combo kernel: ip_tables: (C) 2000-2002 Netfilter core team,
179,E91,Jun  9 06:06:34 combo kernel: process `syslogd' is using obsolete setsockopt SO_BSDCOMPAT,Jun  9 06:06:22 combo bluetooth: sdpd startup succeeded
180,E2,Jun  9 06:06:34 combo kernel: Bluetooth: Core ver 2.4,
181,E92,Jun  9 06:06:34 combo kernel: NET: Registered protocol family 31,Jun  9 06:06:22 combo kernel: agpgart: AGP aperture is 64M @ 0xf4000000
182,E2,Jun  9 06:06:34 combo kernel: Bluetooth: HCI device and connection manager initialized,
183,E93,Jun  9 06:06:34 combo kernel: Bluetooth: HCI socket layer initialized,Jun  9 06:06:17 combo network: Bringing up loopback interface:  succeeded
184,E2,Jun  9 06:06:34 combo kernel: Bluetooth: L2CAP ver 2.1,
185,E94,Jun  9 06:06:34 combo kernel: Bluetooth: RFCOMM ver 1.2,"Jun  9 06:06:22 combo kernel: Serial: 8250/16550 driver $Revision: 1.90 $ 8 ports, IRQ sharing enabled"
186,E2,Jun  9 06:06:34 combo kernel: Bluetooth: RFCOMM socket layer initialized,
187,E95,Jun  9 06:06:34 combo kernel: Bluetooth: RFCOMM TTY layer initialized,Jun  9 06:06:22 combo kernel: RAMDISK driver initialized: 16 RAM disks of 16384K size 1024 blocksize
188,E2,"Jun  9 06:06:34 combo kernel: parport0: PC-style at 0x378 (0x778) [PCSPP,TRISTATE,EPP]",
189,E96,Jun  9 06:06:34 combo kernel: parport0: irq 7 detected,Jun  9 06:06:22 combo kernel: Uniform Multi-Platform E-IDE driver Revision: 7.00alpha2
190,E2,Jun  9 06:06:37 combo cups: cupsd startup succeeded,
191,E97,Jun  9 06:06:38 combo sshd:  succeeded,Jun  9 06:06:23 combo netfs: Mounting other filesystems:  succeeded
192,E2,Jun  9 06:06:38 combo xinetd: xinetd startup succeeded,
193,E98,Jun  9 06:06:40 combo xinetd[2003]: No such internal service: services/stream - DISABLING,Jun  9 06:06:23 combo kernel: ide: Assuming 33MHz system bus speed for PIO modes; override with idebus=xx
194,E2,Jun  9 06:06:40 combo sendmail: sendmail startup succeeded,
195,E99,Jun  9 06:06:41 combo sendmail: sm-client startup succeeded,Jun  9 06:06:23 combo kernel: ICH: IDE controller at PCI slot 0000:00:1f.1
196,E2,Jun  9 06:06:41 combo xinetd[2003]: bind failed (Address already in use (errno = 98)). service = telnet,
197,E100,Jun  9 06:06:41 combo xinetd[2003]: Service telnet failed to start and is deactivated.,"Jun  9 06:06:23 combo apmd[{log_level}]: Version 3.0.2 (APM BIOS 1.2, Linux driver 1.16ac)"
198,E2,Jun  9 06:06:41 combo xinetd[2003]: xinetd Version 2.3.13 started with libwrap loadavg options compiled in.,
199,E101,Jun  9 06:06:41 combo xinetd[2003]: Started working: 30 available services,Jun  9 06:06:23 combo apmd: apmd startup succeeded
200,E2,Jun  9 06:06:44 combo spamassassin: spamd startup succeeded,
201,E102,Jun  9 06:06:44 combo privoxy: Jun 09 06:06:44 Privoxy(-150093696) Info: loading configuration file '/etc/privoxy/config':,Jun  9 06:06:23 combo kernel: ICH: chipset revision 2
202,E2,Jun  9 06:06:45 combo udev[2054]: creating device node '/udev/lp0',
203,E103,Jun  9 06:06:45 combo privoxy: privoxy startup succeeded,"Jun  9 06:06:23 combo kernel:     ide0: BM-DMA at 0xffa0-0xffa7, BIOS settings: hda:DMA, hdb:pio"
204,E2,Jun  9 06:06:45 combo gpm[2068]: *** info [startup.c(95)]:,
205,E104,Jun  9 06:06:45 combo gpm[2068]: Started gpm successfully. Entered daemon mode.,Jun  9 06:06:24 combo autofs: automount startup succeeded
206,E2,Jun  9 06:06:46 combo gpm[2068]: *** info [mice.c(1766)]:,
207,E105,Jun  9 06:06:46 combo gpm[2068]: imps2: Auto-detected intellimouse PS/2,"Jun  9 06:06:24 combo kernel:     ide1: BM-DMA at 0xffa8-0xffaf, BIOS settings: hdc:DMA, hdd:pio"
208,E2,Jun  9 06:06:46 combo gpm: gpm startup succeeded,
209,E106,Jun  9 06:06:46 combo su(pam_unix)[2077]: session opened for user htt by (uid=0),Jun  9 06:06:24 combo kernel: Using cfq io scheduler
210,E2,Jun  9 06:06:46 combo su(pam_unix)[2077]: session closed for user htt,
211,E107,Jun  9 06:06:46 combo IIim: htt startup succeeded,Jun  9 06:06:24 combo smartd[{log_level}]: Home page is http://smartmontools.sourceforge.net/
212,E2,Jun  9 06:06:48 combo htt_server[2080]: started.,
213,E108,Jun  9 06:06:49 combo canna:  succeeded,"Jun  9 06:06:24 combo kernel: ide0 at 0x1f0-0x1f7,0x3f6 on irq 14"
214,E2,Jun  9 06:06:49 combo crond: crond startup succeeded,
215,E109,Jun  9 06:06:50 combo xfs: xfs startup succeeded,Jun  9 06:06:24 combo smartd[{log_level}]: Opened configuration file /etc/smartd.conf
216,E2,Jun  9 06:06:51 combo anacron: anacron startup succeeded,
