EventId,EventTemplate
E56,"Jun  9 06:06:21 combo kernel: PCI: PCI BIOS revision 2.10 entry at 0xfc0ce, last bus=1"
E57,Jun  9 06:06:21 combo kernel: PCI: Using configuration type 1
E58,Jun  9 06:06:21 combo kernel: ACPI: Subsystem revision 20040326
E59,Jun  9 06:06:21 combo kernel: ACPI: Interpreter disabled.
E60,Jun  9 06:06:21 combo kernel: Linux Plug and Play Support v0.97 (c) Adam Belay
E61,Jun  9 06:06:21 combo kernel: usbcore: registered new driver usbfs
E62,Jun  9 06:06:21 combo kernel: usbcore: registered new driver hub
E63,Jun  9 06:06:21 combo rpcidmapd: rpc.idmapd startup succeeded
E64,Jun  9 06:06:21 combo kernel: ACPI: ACPI tables contain no PCI IRQ routing entries
E65,Jun  9 06:06:21 combo kernel: PCI: Invalid ACPI-PCI IRQ routing table
E66,Jun  9 06:06:21 combo random: Initializing random number generator:  succeeded
E67,Jun  9 06:06:21 combo kernel: PCI: Probing PCI hardware
E68,Jun  9 06:06:21 combo kernel: PCI: Probing PCI hardware (bus 00)
E69,Jun  9 06:06:21 combo kernel: Transparent bridge - 0000:00:1e.0
E70,Jun  9 06:06:21 combo kernel: PCI: Using IRQ router PIIX/ICH [8086/2410] at 0000:00:1f.0
E71,Jun  9 06:06:21 combo kernel: apm: BIOS version 1.2 Flags 0x03 (Driver version 1.16ac)
E72,Jun  9 06:06:21 combo kernel: audit: initializing netlink socket (disabled)
E73,Jun  9 06:06:21 combo kernel: audit(1118297138.4294965368:0): initialized
E74,"Jun  9 06:06:21 combo kernel: Total HugeTLB memory allocated, 0"
E75,Jun  9 06:06:21 combo rc: Starting pcmcia:  succeeded
E76,Jun  9 06:06:21 combo kernel: VFS: Disk quotas dquot_6.5.1
E77,"Jun  9 06:06:21 combo kernel: Dquot-cache hash table entries: 1024 (order 0, 4096 bytes)"
E78,Jun  9 06:06:21 combo kernel: SELinux:  Registering netfilter hooks
E79,Jun  9 06:06:21 combo kernel: Initializing Cryptographic API
E80,Jun  9 06:06:21 combo kernel: pci_hotplug: PCI Hot Plug PCI Core version: 0.5
E81,Jun  9 06:06:21 combo kernel: isapnp: Scanning for PnP cards...
E82,Jun  9 06:06:21 combo kernel: isapnp: No Plug & Play device found
E83,Jun  9 06:06:21 combo kernel: Real Time Clock Driver v1.12
E84,Jun  9 06:06:21 combo kernel: Linux agpgart interface v0.100 (c) Dave Jones
E85,Jun  9 06:06:21 combo kernel: agpgart: Detected an Intel i810 E Chipset.
E86,Jun  9 06:06:21 combo kernel: agpgart: Maximum main memory to use for agp memory: 93M
E87,Jun  9 06:06:22 combo bluetooth: hcid startup succeeded
E88,Jun  9 06:06:22 combo kernel: agpgart: detected 4MB dedicated video ram.
E89,Jun  9 06:06:22 combo hcid[{log_level}]: HCI daemon ver 2.4 started
E90,Jun  9 06:06:17 combo network: Setting network parameters:  succeeded
E91,Jun  9 06:06:22 combo bluetooth: sdpd startup succeeded
E92,Jun  9 06:06:22 combo kernel: agpgart: AGP aperture is 64M @ 0xf4000000
E93,Jun  9 06:06:17 combo network: Bringing up loopback interface:  succeeded
E94,"Jun  9 06:06:22 combo kernel: Serial: 8250/16550 driver $Revision: 1.90 $ 8 ports, IRQ sharing enabled"
E95,Jun  9 06:06:22 combo kernel: RAMDISK driver initialized: 16 RAM disks of 16384K size 1024 blocksize
E96,Jun  9 06:06:22 combo kernel: Uniform Multi-Platform E-IDE driver Revision: 7.00alpha2
E97,Jun  9 06:06:23 combo netfs: Mounting other filesystems:  succeeded
E98,Jun  9 06:06:23 combo kernel: ide: Assuming 33MHz system bus speed for PIO modes; override with idebus=xx
E99,Jun  9 06:06:23 combo kernel: ICH: IDE controller at PCI slot 0000:00:1f.1
E100,"Jun  9 06:06:23 combo apmd[{log_level}]: Version 3.0.2 (APM BIOS 1.2, Linux driver 1.16ac)"
E101,Jun  9 06:06:23 combo apmd: apmd startup succeeded
E102,Jun  9 06:06:23 combo kernel: ICH: chipset revision 2
E103,"Jun  9 06:06:23 combo kernel:     ide0: BM-DMA at 0xffa0-0xffa7, BIOS settings: hda:DMA, hdb:pio"
E104,Jun  9 06:06:24 combo autofs: automount startup succeeded
E105,"Jun  9 06:06:24 combo kernel:     ide1: BM-DMA at 0xffa8-0xffaf, BIOS settings: hdc:DMA, hdd:pio"
E106,Jun  9 06:06:24 combo kernel: Using cfq io scheduler
E107,Jun  9 06:06:24 combo smartd[{log_level}]: Home page is http://smartmontools.sourceforge.net/
E108,"Jun  9 06:06:24 combo kernel: ide0 at 0x1f0-0x1f7,0x3f6 on irq 14"
E109,Jun  9 06:06:24 combo smartd[{log_level}]: Opened configuration file /etc/smartd.conf
E110,Jun  9 06:06:24 combo smartd[{log_level}]: Configuration file /etc/smartd.conf parsed.
E111,"Jun  9 06:06:24 combo smartd[{log_level}]: Device: /dev/hda, opened"
E112,"Jun  9 06:06:24 combo kernel: ide1 at 0x170-0x177,0x376 on irq 15"
E113,Jun  9 06:06:24 combo apmd[{log_level}]: Charge: * * * (-1% unknown)
E114,"Jun  9 06:06:24 combo smartd[{log_level}]: Device: /dev/hda, found in smartd database."
E115,Jun  9 06:06:24 combo kernel: hda: max request size: 128KiB
E116,"Jun  9 06:06:24 combo smartd[{log_level}]: Device: /dev/hda, is SMART capable. Adding to ""monitor"" list."
E117,"Jun  9 06:06:24 combo kernel: hda: 29336832 sectors (15020 MB) w/1916KiB Cache, CHS=29104/16/63, UDMA(66)"
E118,Jun  9 06:06:24 combo smartd[{log_level}]: Monitoring 1 ATA and 0 SCSI devices
E119,Jun  9 06:06:24 combo smartd[{log_level}]: smartd has fork()ed into background mode. New PID=1757.
E120,Jun  9 06:06:24 combo smartd: smartd startup succeeded
E121,Jun  9 06:06:24 combo kernel: Uniform CD-ROM driver Revision: 3.20
E122,Jun  9 06:06:24 combo kernel: ide-floppy driver 0.99.newide
E123,Jun  9 06:06:24 combo kernel: usbcore: registered new driver hiddev
E124,Jun  9 06:06:24 combo kernel: usbcore: registered new driver hid
E125,Jun  9 06:06:25 combo kernel: mice: PS/2 mouse device common for all mice
E126,"Jun  9 06:06:25 combo kernel: serio: i8042 AUX port at 0x60,0x64 irq 12"
E127,Jun  9 06:06:25 combo kernel: input: ImPS/2 Logitech Wheel Mouse on isa0060/serio1
E128,"Jun  9 06:06:25 combo kernel: serio: i8042 KBD port at 0x60,0x64 irq 1"
E129,Jun  9 06:06:25 combo kernel: input: AT Translated Set 2 keyboard on isa0060/serio0
E130,"Jun  9 06:06:25 combo kernel: md: md driver 0.90.0 MAX_MD_DEVS=256, MD_SB_DISKS=27"
E131,Jun  9 06:06:25 combo kernel: NET: Registered protocol family 2
E132,"Jun  9 06:06:25 combo kernel: IP: routing cache hash table of 512 buckets, 4Kbytes"
E133,Jun  9 06:06:26 combo kernel: TCP: Hash tables configured (established 8192 bind 16384)
E134,Jun  9 06:06:26 combo kernel: Initializing IPsec netlink socket
E135,Jun  9 06:06:26 combo kernel: NET: Registered protocol family 1
E136,Jun  9 06:06:26 combo kernel: NET: Registered protocol family 17
E137,Jun  9 06:06:26 combo kernel: checking if image is initramfs...it isn't (no cpio magic); looks like an initrd
E138,Jun  9 06:06:26 combo kernel: Freeing initrd memory: 186k freed
E139,Jun  9 06:06:26 combo kernel: md: Autodetecting RAID arrays.
E140,Jun  9 06:06:26 combo kernel: md: autorun ...
E141,Jun  9 06:06:26 combo kernel: RAMDISK: Compressed image found at block 0
E142,Jun  9 06:06:26 combo rc: Starting hpoj:  succeeded
E143,Jun  9 06:06:26 combo kernel: VFS: Mounted root (ext2 filesystem).
E144,Jun  9 06:06:26 combo kernel: EXT3-fs: write access will be enabled during recovery.
E145,Jun  9 06:06:26 combo kernel: kjournald starting.  Commit interval 5 seconds
E146,Jun  9 06:06:27 combo kernel: EXT3-fs: hda2: 4 orphan inodes deleted
E147,Jun  9 06:06:27 combo kernel: EXT3-fs: recovery complete.
E148,Jun  9 06:06:27 combo kernel: EXT3-fs: mounted filesystem with ordered data mode.
E149,Jun  9 06:06:27 combo kernel: Freeing unused kernel memory: 144k freed
E150,Jun  9 06:06:27 combo kernel: SELinux:  Disabled at runtime.
E151,Jun  9 06:06:28 combo kernel: SELinux:  Unregistering netfilter hooks
E152,Jun  9 06:06:28 combo kernel: NET: Registered protocol family 10
E153,Jun  9 06:06:28 combo kernel: Disabled Privacy Extensions on device 022db720(lo)
E154,Jun  9 06:06:28 combo kernel: IPv6 over IPv4 tunneling driver
E155,Jun  9 06:06:28 combo kernel: USB Universal Host Controller Interface driver v2.2
E156,Jun  9 06:06:28 combo kernel: PCI: Found IRQ 11 for device 0000:00:1f.2
E157,Jun  9 06:06:29 combo kernel: uhci_hcd 0000:00:1f.2: UHCI Host Controller
E158,"Jun  9 06:06:29 combo kernel: uhci_hcd 0000:00:1f.2: irq 11, io base 0000ff80"
E159,"Jun  9 06:06:29 combo kernel: uhci_hcd 0000:00:1f.2: new USB bus registered, assigned bus number 1"
E160,"Jun  9 06:06:29 combo kernel: EXT3 FS on hda2, internal journal"
E161,Jun  9 06:06:30 combo kernel: cdrom: open failed.
E162,Jun  9 06:06:30 combo kernel: Adding 262072k swap on /dev/hda3.  Priority:-1 extents:1
E163,Jun  9 06:06:30 combo kernel: kjournald starting.  Commit interval 5 seconds
E164,"Jun  9 06:06:30 combo kernel: EXT3 FS on hda1, internal journal"
E165,Jun  9 06:06:31 combo kernel: EXT3-fs: mounted filesystem with ordered data mode.
E166,Jun  9 06:06:31 combo kernel: microcode: CPU0 already at revision 0x8 (current=0x8)
E167,Jun  9 06:06:31 combo kernel: microcode: No suitable data for cpu 0
E168,"Jun  9 06:06:31 combo kernel: parport0: PC-style at 0x378 (0x778) [PCSPP,TRISTATE,EPP]"
E169,Jun  9 06:06:31 combo kernel: parport0: irq 7 detected
E170,Jun  9 06:06:31 combo kernel: SCSI subsystem initialized
E171,Jun  9 06:06:32 combo kernel: inserting floppy driver for 2.6.5-1.358
E172,Jun  9 06:06:32 combo kernel: Floppy drive(s): fd0 is 1.44M
E173,Jun  9 06:06:32 combo kernel: FDC 0 is a National Semiconductor PC87306
E174,Jun  9 06:06:33 combo kernel: PCI: Found IRQ 5 for device 0000:01:0c.0
E175,Jun  9 06:06:33 combo kernel: 3c59x: Donald Becker and others. www.scyld.com/network/vortex.html
E176,Jun  9 06:06:34 combo kernel: ip_tables: (C) 2000-2002 Netfilter core team
E177,Jun  9 06:06:34 combo kernel: PCI: Found IRQ 5 for device 0000:01:0c.0
E178,Jun  9 06:06:34 combo kernel: 3c59x: Donald Becker and others. www.scyld.com/network/vortex.html
E179,Jun  9 06:06:34 combo kernel: process `syslogd' is using obsolete setsockopt SO_BSDCOMPAT
E180,Jun  9 06:06:34 combo kernel: Bluetooth: Core ver 2.4
E181,Jun  9 06:06:34 combo kernel: NET: Registered protocol family 31
E182,Jun  9 06:06:34 combo kernel: Bluetooth: HCI device and connection manager initialized
E183,Jun  9 06:06:34 combo kernel: Bluetooth: HCI socket layer initialized
E184,Jun  9 06:06:34 combo kernel: Bluetooth: L2CAP ver 2.1
E185,Jun  9 06:06:34 combo kernel: Bluetooth: RFCOMM ver 1.2
E186,Jun  9 06:06:34 combo kernel: Bluetooth: RFCOMM socket layer initialized
E187,Jun  9 06:06:34 combo kernel: Bluetooth: RFCOMM TTY layer initialized
E188,"Jun  9 06:06:34 combo kernel: parport0: PC-style at 0x378 (0x778) [PCSPP,TRISTATE,EPP]"
E189,Jun  9 06:06:34 combo kernel: parport0: irq 7 detected
E190,Jun  9 06:06:37 combo cups: cupsd startup succeeded
E191,Jun  9 06:06:38 combo sshd:  succeeded
E192,Jun  9 06:06:38 combo xinetd: xinetd startup succeeded
E193,Jun  9 06:06:40 combo xinetd[{log_level}]: No such internal service: services/stream - DISABLING
E194,Jun  9 06:06:40 combo sendmail: sendmail startup succeeded
E195,Jun  9 06:06:41 combo sendmail: sm-client startup succeeded
E196,Jun  9 06:06:41 combo xinetd[{log_level}]: bind failed (Address already in use (errno = 98)). service = telnet
E197,Jun  9 06:06:41 combo xinetd[{log_level}]: Service telnet failed to start and is deactivated.
E198,Jun  9 06:06:41 combo xinetd[{log_level}]: xinetd Version 2.3.13 started with libwrap loadavg options compiled in.
E199,Jun  9 06:06:41 combo xinetd[{log_level}]: Started working: 30 available services
E200,Jun  9 06:06:44 combo spamassassin: spamd startup succeeded
E201,Jun  9 06:06:44 combo privoxy: Jun 09 06:06:44 Privoxy(-150093696) Info: loading configuration file '/etc/privoxy/config':
E202,Jun  9 06:06:45 combo udev[{log_level}]: creating device node '/udev/lp0'
E203,Jun  9 06:06:45 combo privoxy: privoxy startup succeeded
E204,Jun  9 06:06:45 combo gpm[{log_level}]: *** info [startup.c(95)]:
E205,Jun  9 06:06:45 combo gpm[{log_level}]: Started gpm successfully. Entered daemon mode.
E206,Jun  9 06:06:46 combo gpm[{log_level}]: *** info [mice.c(1766)]:
E207,Jun  9 06:06:46 combo gpm[{log_level}]: imps2: Auto-detected intellimouse PS/2
E208,Jun  9 06:06:46 combo gpm: gpm startup succeeded
E209,Jun  9 06:06:46 combo su(pam_unix)[{log_level}]: session opened for user htt by (uid=0)
E210,Jun  9 06:06:46 combo su(pam_unix)[{log_level}]: session closed for user htt
E211,Jun  9 06:06:46 combo IIim: htt startup succeeded
E212,Jun  9 06:06:48 combo htt_server[{log_level}]: started.
E213,Jun  9 06:06:49 combo canna:  succeeded
E214,Jun  9 06:06:49 combo crond: crond startup succeeded
E215,Jun  9 06:06:50 combo xfs: xfs startup succeeded
E216,Jun  9 06:06:51 combo anacron: anacron startup succeeded
E217,Jun  9 06:06:51 combo atd: atd startup succeeded
E218,Jun  9 06:06:51 combo readahead: Starting background readahead:
E219,Jun  9 06:06:51 combo rc: Starting readahead:  succeeded
E220,Jun  9 06:06:52 combo messagebus: messagebus startup succeeded
E221,Jun  9 06:07:06 combo httpd: httpd startup succeeded
E222,Jun  9 06:07:07 combo squid[{log_level}]: Squid Parent: child process 2264 started
E223,Jun  9 10:07:13 combo named[{log_level}]: starting BIND 9.2.3 -u named -t /var/named/chroot
E224,Jun  9 10:07:13 combo named[{log_level}]: using 1 CPU
E225,Jun  9 06:07:13 combo named: named startup succeeded
E226,Jun  9 10:07:13 combo named[{log_level}]: loading configuration from '/etc/named.conf'
E227,"Jun  9 10:07:13 combo named[{log_level}]: listening on IPv4 interface lo, 127.0.0.1#53"
E228,"Jun  9 10:07:13 combo named[{log_level}]: listening on IPv4 interface eth0, 63.126.79.67#53"
E229,"Jun  9 10:07:13 combo named[{log_level}]: listening on IPv4 interface eth0:1, 63.126.79.69#53"
E230,"Jun  9 10:07:13 combo named[{log_level}]: listening on IPv4 interface eth0:2, 63.126.79.70#53"
E231,"Jun  9 10:07:13 combo named[{log_level}]: listening on IPv4 interface eth0:3, 63.126.79.71#53"
E232,"Jun  9 10:07:13 combo named[{log_level}]: listening on IPv4 interface eth0:4, 63.126.79.72#53"
E233,"Jun  9 10:07:13 combo named[{log_level}]: listening on IPv4 interface eth0:5, 63.126.79.73#53"
E234,"Jun  9 10:07:13 combo named[{log_level}]: listening on IPv4 interface eth0:6, 63.126.79.75#53"
E235,"Jun  9 10:07:13 combo named[{log_level}]: listening on IPv4 interface eth0:7, 63.126.79.80#53"
E236,"Jun  9 10:07:13 combo named[{log_level}]: listening on IPv4 interface eth0:8, 63.126.79.81#53"
E237,"Jun  9 10:07:14 combo named[{log_level}]: listening on IPv4 interface eth0:9, 63.126.79.82#53"
E238,"Jun  9 10:07:14 combo named[{log_level}]: listening on IPv4 interface eth0:10, 63.126.79.83#53"
E239,Jun  9 06:07:15 combo snmpd: snmpd startup succeeded
E240,"Jun  9 10:07:15 combo named[{log_level}]: listening on IPv4 interface eth0:11, 63.126.79.84#53"
E241,"Jun  9 10:07:16 combo named[{log_level}]: listening on IPv4 interface eth0:12, 63.126.79.85#53"
E242,Jun  9 06:07:16 combo snmpd[{log_level}]: NET-SNMP version 5.1.1
E243,"Jun  9 10:07:16 combo named[{log_level}]: listening on IPv4 interface eth0:13, 63.126.79.87#53"
E244,Jun  9 06:07:17 combo ntpd: ntpd startup succeeded
E245,"Jun  9 10:07:17 combo named[{log_level}]: listening on IPv4 interface eth0:14, 63.126.79.89#53"
E246,"Jun  9 10:07:18 combo named[{log_level}]: listening on IPv4 interface eth0:15, 63.126.79.90#53"
E247,"Jun  9 10:07:18 combo named[{log_level}]: listening on IPv4 interface eth0:16, 63.126.79.95#53"
E248,"Jun  9 10:07:19 combo named[{log_level}]: listening on IPv4 interface eth0:17, 63.126.79.100#53"
E249,Jun  9 06:07:19 combo ntpd[{log_level}]: precision = 1.000 usec
E250,"Jun  9 10:07:19 combo named[{log_level}]: listening on IPv4 interface eth0:18, 63.126.79.105#53"
E251,"Jun  9 10:07:20 combo named[{log_level}]: listening on IPv4 interface eth0:19, 63.126.79.110#53"
E252,Jun  9 06:07:19 combo ntpd[{log_level}]: kernel time sync status 0040
E253,"Jun  9 10:07:20 combo named[{log_level}]: listening on IPv4 interface eth0:20, 63.126.79.115#53"
E254,Jun  9 06:07:20 combo ntpd[{log_level}]: frequency initialized 0.000 PPM from /var/lib/ntp/drift
E255,"Jun  9 10:07:20 combo named[{log_level}]: listening on IPv4 interface eth0:21, 63.126.79.120#53"
E256,"Jun  9 10:07:21 combo named[{log_level}]: listening on IPv4 interface eth0:22, 63.126.79.125#53"
E257,"Jun  9 06:07:21 combo ntpd[{log_level}]: configure: keyword ""authenticate"" unknown, line ignored"
E258,Jun  9 10:07:21 combo named[{log_level}]: couldn't add command channel 127.0.0.1#953: not found
E259,Jun  9 10:07:22 combo named[{log_level}]: couldn't add command channel ::1#953: not found
E260,Jun  9 06:07:22 combo mysqld: Starting MySQL:  succeeded
E261,Jun  9 10:07:22 combo named[{log_level}]: running
E262,"Jun  9 06:07:23 combo rsyncd[{log_level}]: rsyncd version 2.6.2 starting, listening on port 873"
E263,Jun  9 06:07:26 combo udev[{log_level}]: creating device node '/udev/vcs2'
E264,Jun  9 06:07:26 combo udev[{log_level}]: creating device node '/udev/vcsa2'
E265,Jun  9 06:07:26 combo udev[{log_level}]: creating device node '/udev/vcs1'
E266,Jun  9 06:07:26 combo udev[{log_level}]: creating device node '/udev/vcsa1'
E267,Jun  9 06:07:26 combo udev[{log_level}]: creating device node '/udev/vcs5'
E268,Jun  9 06:07:26 combo udev[{log_level}]: creating device node '/udev/vcsa5'
E269,Jun  9 06:07:26 combo udev[{log_level}]: removing device node '/udev/vcs2'
E270,Jun  9 06:07:26 combo udev[{log_level}]: removing device node '/udev/vcsa8'
E271,Jun  9 06:07:26 combo udev[{log_level}]: removing device node '/udev/vcsa5'
E272,Jun  9 06:07:26 combo udev[{log_level}]: removing device node '/udev/vcs1'
E273,Jun  9 06:07:26 combo udev[{log_level}]: removing device node '/udev/vcsa1'
E274,Jun  9 06:07:26 combo udev[{log_level}]: removing device node '/udev/vcs5'
E275,Jun  9 06:07:26 combo udev[{log_level}]: removing device node '/udev/vcs8'
E276,Jun  9 06:07:26 combo udev[{log_level}]: creating device node '/udev/vcsa3'
E277,Jun  9 06:07:26 combo udev[{log_level}]: creating device node '/udev/vcs3'
E278,Jun  9 06:07:26 combo udev[{log_level}]: removing device node '/udev/vcsa2'
E279,Jun  9 06:07:27 combo udev[{log_level}]: creating device node '/udev/vcsa5'
E280,Jun  9 06:07:27 combo udev[{log_level}]: creating device node '/udev/vcs1'
E281,Jun  9 06:07:27 combo udev[{log_level}]: creating device node '/udev/vcs6'
E282,Jun  9 06:07:27 combo udev[{log_level}]: creating device node '/udev/vcs4'
E283,Jun  9 06:07:27 combo udev[{log_level}]: creating device node '/udev/vcsa6'
E284,Jun  9 06:07:27 combo udev[{log_level}]: creating device node '/udev/vcsa4'
E285,Jun  9 06:07:27 combo udev[{log_level}]: creating device node '/udev/vcsa1'
E286,Jun  9 06:07:28 combo udev[{log_level}]: creating device node '/udev/vcs5'
E287,Jun  9 06:07:28 combo udev[{log_level}]: removing device node '/udev/vcsa3'
E288,Jun  9 06:07:28 combo udev[{log_level}]: removing device node '/udev/vcs3'
E289,Jun  9 06:07:29 combo udev[{log_level}]: creating device node '/udev/vcsa2'
E290,Jun  9 06:07:29 combo udev[{log_level}]: removing device node '/udev/vcs6'
E291,Jun  9 06:07:30 combo udev[{log_level}]: removing device node '/udev/vcs4'
E292,Jun  9 06:07:30 combo udev[{log_level}]: removing device node '/udev/vcsa6'
E293,Jun  9 06:07:30 combo udev[{log_level}]: removing device node '/udev/vcsa4'
E294,Jun  9 06:07:31 combo udev[{log_level}]: creating device node '/udev/vcsa3'
E295,Jun  9 06:07:31 combo udev[{log_level}]: creating device node '/udev/vcs3'
E296,Jun  9 06:07:32 combo udev[{log_level}]: creating device node '/udev/vcs6'
E297,Jun  9 06:07:32 combo udev[{log_level}]: creating device node '/udev/vcs4'
E298,Jun  9 06:07:32 combo udev[{log_level}]: creating device node '/udev/vcsa6'
E299,Jun  9 06:07:32 combo udev[{log_level}]: creating device node '/udev/vcsa4'
E300,Jun  9 06:07:33 combo udev[{log_level}]: creating device node '/udev/vcs7'
E301,Jun  9 06:07:33 combo udev[{log_level}]: creating device node '/udev/vcsa7'
E302,Jun  9 06:07:34 combo udev[{log_level}]: removing device node '/udev/vcs7'
E303,Jun  9 06:07:34 combo udev[{log_level}]: removing device node '/udev/vcsa7'
E304,Jun  9 06:07:34 combo udev[{log_level}]: creating device node '/udev/vcs7'
E305,Jun  9 06:07:34 combo udev[{log_level}]: creating device node '/udev/vcsa7'
E306,"Jun  9 06:10:35 combo ntpd[{log_level}]: synchronized to LOCAL(0), stratum=10"
E307,Jun  9 06:10:35 combo ntpd[{log_level}]: kernel time sync disabled 0041
E308,Jun  9 06:11:41 combo ntpd[{log_level}]: kernel time sync enabled 0001
E309,Jun 10 04:02:23 combo xinetd[{log_level}]: file descriptor of service comsat has been closed
E310,Jun 10 04:02:23 combo xinetd[{log_level}]: select reported EBADF but no bad file descriptors were found
E311,Jun 10 04:03:01 combo su(pam_unix)[{log_level}]: session opened for user cyrus by (uid=0)
E312,Jun 10 04:03:01 combo su(pam_unix)[{log_level}]: session closed for user cyrus
E313,Jun 10 04:03:02 combo logrotate: ALERT exited abnormally with [{log_level}]
E314,Jun 10 04:09:15 combo su(pam_unix)[{log_level}]: session opened for user news by (uid=0)
E315,Jun 10 04:09:16 combo su(pam_unix)[{log_level}]: session closed for user news
E316,Jun 10 11:31:44 combo syslogd 1.4.1: restart.
E317,Jun 10 11:31:44 combo syslog: syslogd startup succeeded
E318,"Jun 10 11:31:44 combo kernel: klogd 1.4.1, log source = /proc/kmsg started."
E319,Jun 10 11:31:44 combo kernel: Linux version 2.6.5-1.358 (bhcompile@bugs.build.redhat.com) (gcc version 3.3.3 20040412 (Red Hat Linux 3.3.3-7)) #1 Sat May 8 09:04:50 EDT 2004
E320,Jun 10 11:31:44 combo kernel: BIOS-provided physical RAM map:
E321,Jun 10 11:31:44 combo kernel:  BIOS-e820: 0000000000000000 - 00000000000a0000 (usable)
E322,Jun 10 11:31:44 combo kernel:  BIOS-e820: 00000000000f0000 - 0000000000100000 (reserved)
